,image_id,label,source,0,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6
26332,train-cbb-114.jpg,0,2019,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
1,1000201771.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
4,1000812911.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
5,1000837476.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
9,1001742395.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
10,1001749118.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
11,100204014.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
13,1002255315.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
14,1002394761.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
16,1003298598.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
19,1003987001.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
20,1004105566.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
21,1004163647.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
23,1004672608.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
26,1004881261.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
27,1005138819.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
31,1005695738.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
32,1005739807.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
33,100609661.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
34,1007196516.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
35,1007246985.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
36,100731318.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
37,1007533812.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
38,1007700625.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
39,1007891044.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
40,1008126487.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
43,1008284502.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
44,1008532311.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
45,1009037539.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
46,1009049118.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
49,1009268848.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
50,1009322597.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
51,1009361983.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
53,1009441020.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
54,1009462599.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
55,1009489704.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
56,1009495847.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
57,1009704586.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
59,1009845426.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
61,1010648150.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
63,1010855776.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
64,1010899191.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
65,1011139244.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
66,1011422445.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
69,1011858443.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
75,1012599090.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
77,1012755275.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
80,1013678821.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
81,1013734375.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
82,1014087087.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
85,1014365825.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
86,1014433832.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
88,1014810796.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
89,1014888611.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
90,1015034348.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
91,1015143489.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
94,1016258639.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
95,1016334938.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
99,1017006970.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
105,1017890227.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
106,1018433055.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
108,101876866.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
110,1019359196.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
113,1019486948.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
114,101960837.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
115,1020196137.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
116,1020245430.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
117,1020387881.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
119,1020423203.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
120,1020636424.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
124,1022008227.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
125,1022283943.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
126,1022307478.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
127,1022475063.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
128,1022790491.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
129,1022850256.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
131,1023151050.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
133,1023837322.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
134,1023937437.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
137,1024191493.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
139,102447703.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
142,1024995071.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
143,1025060651.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
144,1025198223.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
146,1025492337.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
148,1025557405.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
149,1025616565.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
150,1025693532.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
153,1026511145.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
155,102719039.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
156,1027550629.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
157,1027766963.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
159,1028041356.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
160,1028105805.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
162,1028318593.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
163,1028446573.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
166,1029560899.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
167,102968016.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
168,1029778366.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
169,1029779424.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
171,1031500522.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
172,1031772206.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
173,1032082353.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
174,1032383932.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
177,1033283646.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
182,1034286210.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
183,1034407153.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
184,1034527129.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
186,1034577161.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
189,1035350866.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
190,1035475040.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
191,1036133928.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
192,1036302176.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
193,103630546.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
195,1036692910.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
196,1036697361.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
197,1036774035.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
200,1037337861.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
202,1038166459.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
203,1038176489.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
205,1038916688.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
206,1039045921.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
209,1039658655.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
210,1039676268.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
211,1039830931.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
212,1039851684.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
213,1040079282.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
214,1040156603.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
217,1040828572.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
218,104086261.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
219,1040876350.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
220,1041022257.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
221,1041184552.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
222,1041588404.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
223,1041651309.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
225,1041701814.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
227,1041923025.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
228,1042223039.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
229,1042521522.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
230,1042550484.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
231,1042661635.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
232,1043083985.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
234,1043184548.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
237,1043752907.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
238,1043857809.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
239,1044221536.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
241,1044411903.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
242,1044545725.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
244,1044918414.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
246,1044971650.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
249,1045339937.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
250,104535906.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
252,1045708576.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
253,1045776023.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
255,1045989131.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
257,1046187121.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
258,1046222396.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
262,1046776729.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
263,1046830901.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
264,1047071545.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
266,1047210476.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
268,1047550741.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
269,1047645957.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
270,104769172.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
271,1047894047.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
275,1048372814.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
277,1048678959.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
279,1048738679.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
280,1048872437.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
281,1049426356.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
283,1049924040.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
284,1050134400.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
285,1050263382.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
286,1050292454.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
287,1050313402.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
289,1050774063.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
292,1051469374.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
296,1052118637.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
298,1052881053.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
299,1052903541.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
300,1053009170.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
301,105315247.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
302,1053293117.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
303,1053317654.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
304,1053317741.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
305,1053331543.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
310,1054468967.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
313,1054987687.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
314,1055012871.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
315,1055305901.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
316,1055627573.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
318,1056943297.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
319,1057043660.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
322,1057519931.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
323,1057579024.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
326,1058438877.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
327,1058466257.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
329,1058931181.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
330,1059213340.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
331,1059218033.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
332,1059334615.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
334,1059498220.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
335,1059782259.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
337,1060007225.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
339,1060477140.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
342,10606813.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
343,1060691063.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
344,1060739991.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
345,1060754806.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
347,1060819932.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
348,1061187521.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
349,1061287420.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
350,106169527.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
351,106217104.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
352,106233037.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
354,1063572140.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
355,1064129080.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
357,1064567128.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
358,1064567864.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
359,1064635740.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
361,1065474134.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
364,1066630679.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
365,1066635665.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
366,1066701107.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
367,1067081821.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
369,1067379852.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
370,1067618974.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
372,1067821323.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
373,1067829359.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
374,106785011.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
375,1067983435.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
377,1068558018.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
378,1068624123.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
379,1068801763.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
380,1068803845.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
381,1069065600.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
382,1069221450.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
384,1069921431.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
386,1070151605.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
387,1070206679.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
388,1070548894.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
389,1070630875.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
390,1070742689.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
391,1071136061.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
392,1071660717.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
393,1071700805.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
394,107179104.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
397,1072171567.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
400,1072471707.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
402,1072929806.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
403,1073105435.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
405,1073881095.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
406,1073893170.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
411,1074399386.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
412,1074412436.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
413,107443287.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
415,1074544926.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
416,107458529.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
418,1074721909.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
419,1074804892.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
420,1074822391.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
421,1075008294.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
422,1075008577.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
425,1075841093.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
427,1076699996.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
428,1076906366.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
431,1077091549.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
432,1077138637.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
433,1077343678.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
439,10780620.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
440,1078497809.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
443,1078875759.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
444,1079107547.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
445,1079216156.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
446,1079224858.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
447,1079432452.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
448,1079514795.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
450,1079818659.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
452,1080179563.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
454,1080265497.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
455,1080281713.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
458,1081031509.jpg,3,2020,Cassava Mosaic Disease (CMD),train,test,train,train,train,train,train
463,1082579432.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,test,train,train,train
464,1082822990.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
467,1083149527.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
468,108321963.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
473,108428649.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
474,1084779411.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,test,train,train,train,train
476,1084966463.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
479,1085629921.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
480,1085879366.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
481,1085931637.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
483,1086080704.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,train,test
484,1086102546.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
485,1086221210.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,test,train,train
486,1086499006.jpg,3,2020,Cassava Mosaic Disease (CMD),test,train,train,train,train,train,train
488,1086549590.jpg,3,2020,Cassava Mosaic Disease (CMD),train,train,train,train,train,test,train
